Horodateur;Vous êtes actuellement :;Quelle était votre série au Baccalauréat ?;Quelles étaient vos matières préférées au lycée ?;Dans quelles matières vous étiez doués?;Dans quelles activités pensez-vous être naturellement à l'aise ?;Parmi les activités suivantes, lesquelles vous attirent le plus ?;Quel type de problème aimez-vous le plus résoudre ?;Quel type d'activité pédagogique vous attire le plus ?;Aimez-vous plutôt la pratique ou les leçons (théorie) ?;Quel rythme de travail vous correspond le mieux ?;Dans quel environnement aimeriez-vous travailler ?;Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez;Préférez-vous travailler principalement ?;Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?;Avez-vous étudié ou étudiez-vous à l'ISPM ?;Si oui, quelle est / a été votre filière (mention) à l'ISPM ?;Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?;Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?
2026-08-30 02:35:11.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Mathématiques, Physique, Chimie;Mathématiques, Physique, Chimie, Économie, Français / Langues;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Rédiger;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Communiquer et travailler avec des personnes;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux;Faire des travaux pratiques, Travailler en groupe;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Entreprise / organisation;environnement, programmation;Avec beaucoup de contacts avec des partenaires;Avoir de bonnes opportunités d'emploi, Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger, Utiliser mes matières préférées, Travailler dans mon domaine de passion;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;Responsable qualité;3
2026-08-21 14:07:50.000000;Étudiant(e);Série Technique;Physique, Mathématiques, Technologie / Sciences industrielles, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique, Économie, Gestion / Comptabilité;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Vendre, négocier ou développer une activité commerciale, Communiquer et travailler avec des personnes;Problèmes liés à la construction et aux infrastructures, Problèmes liés aux machines et aux systèmes;Réaliser des expériences, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Banque / institution financière;langues;En grande équipe;Avoir de bonnes opportunités d'emploi, Travailler dans mon domaine de passion;Oui;GCA : Génie Civil et Architecture;;
2026-08-29 09:21:19.000000;Étudiant(e);Série D;Sciences de la vie / Biologie, Physique, Histoire / Géographie;Sciences de la vie / Biologie, Chimie, Mathématiques, Français / Langues;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Défendre une idée ou argumenter;Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes scientifiques et expérimentaux;Faire des recherches documentaires, Faire des sorties / visites de terrain, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Environnement informatique / numérique;cuisine, voyage;Avec beaucoup de contacts avec des clients / utilisateurs;Faire quelque chose que j'aime, Faire de la recherche;Non;;;
2026-08-23 20:51:02.000000;Étudiant(e);Série L;Philosophie, Histoire / Géographie, Français / Langues, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie, Sciences de la vie / Biologie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Concevoir des systèmes techniques;Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce;Résoudre des exercices, Faire des présentations / exposés, Faire des travaux pratiques, Réaliser un projet, Travailler en groupe;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Milieu rural;environnement, danse;En binôme;Faire quelque chose que j'aime, Avoir la possibilité de travailler à l'étranger;Non;;;
2026-08-23 00:09:14.000000;Étudiant(e);Série Technique;Physique, Mathématiques;Technologie / Sciences industrielles, Mathématiques, Physique, Économie, Gestion / Comptabilité;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Communiquer, Mémoriser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Créer et concevoir des contenus;Problèmes liés à la construction et aux infrastructures, Problèmes techniques et industriels, Problèmes liés aux machines et aux systèmes;Résoudre des exercices, Faire des sorties / visites de terrain, Faire des travaux pratiques;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Établissement de santé / pharmaceutique;histoire, robotique, langues;En petite équipe;Travailler dans mon domaine de passion, Faire quelque chose que j'aime, Pouvoir évoluer professionnellement, Avoir la possibilité de travailler à l'étranger;Non;;;
2026-08-20 16:57:35.000000;Étudiant(e);Série L;Français / Langues, Histoire / Géographie, Philosophie;Français / Langues, Histoire / Géographie, Philosophie, Mathématiques;Rédiger, Argumenter, Mémoriser, Observer, Manipuler des outils;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Faire des présentations / exposés, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Tribunal / administration juridique;économie, architecture;Cela m'est égal;Utiliser mes matières préférées, Pouvoir évoluer professionnellement, Travailler avec des technologies;Non;;;
2026-08-20 23:54:48.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Physique, Mathématiques, Technologie / Sciences industrielles, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique, Arts / Design, Économie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Organiser, Travailler avec des personnes;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Je ne sais pas encore, Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels;Réaliser un projet, Faire des travaux pratiques, Travailler en groupe;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Bureau / administration;chant, théâtre;Avec beaucoup de contacts avec des partenaires;Utiliser mes points forts, Avoir un salaire intéressant, Résoudre des problèmes, Créer ma propre entreprise;Non;;Développeur web;5
2026-08-29 14:06:12.000000;Étudiant(e);Série D;Chimie, Physique, Mathématiques, Histoire / Géographie;Sciences de la vie / Biologie, Chimie, Mathématiques;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Calculer;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Faire des calculs et résoudre des problèmes mathématiques;Problèmes scientifiques et expérimentaux, Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Je ne sais pas encore;Résoudre des exercices, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Hôtel / restaurant;sport, entrepreneuriat;Avec beaucoup de contacts avec des clients / utilisateurs;Travailler dans mon domaine de passion, Créer ma propre entreprise, Travailler dans un domaine scientifique, Faire de la recherche;Non;;;
2026-08-22 05:34:10.000000;Étudiant(e);Série A1 /Série A2;Philosophie, Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Manipuler des outils;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Analyser des chiffres et des données;Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Travailler en groupe, Faire des présentations / exposés, Réaliser des expériences;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Terrain agricole;design, théâtre, histoire, économie;Avec beaucoup de contacts avec des partenaires;Travailler avec des technologies, Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-23 10:54:50.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Mathématiques, Technologie / Sciences industrielles;Technologie / Sciences industrielles, Mathématiques, Physique, Arts / Design;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Travailler dans l'agriculture ou l'élevage, Analyser des chiffres et des données;Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels;Travailler en groupe, Faire des présentations / exposés, Participer à des simulations ou études de cas;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Chantier;programmation;Avec beaucoup de contacts avec des partenaires;Travailler dans mon domaine de passion, Avoir un salaire intéressant;Non;;Consultant;2
2026-08-27 23:56:24.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Histoire / Géographie, Philosophie, Économie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Calculer, Dessiner / concevoir;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Commerce / magasin;photographie, écriture;Avec beaucoup de contacts avec des partenaires;Avoir la possibilité de travailler à l'étranger, Créer ma propre entreprise, Avoir un métier stable, Travailler avec des personnes, Résoudre des problèmes;Oui;FIC : Finances et Comptabilités;Avocat;2
2026-08-20 19:57:38.000000;Étudiant(e);Autre;Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Travailler en groupe, Résoudre des exercices;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Terrain agricole;jeux vidéo, architecture, mathématiques;Seul(e);Utiliser mes matières préférées, Avoir de bonnes opportunités d'emploi, Faire de la recherche, Créer ma propre entreprise, Travailler dans mon domaine de passion;Oui;EMP : Economie et Management de Projet;;
2026-08-29 21:22:33.000000;Étudiant(e);Série OSE;Français / Langues, Histoire / Géographie, Sciences de la vie / Biologie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Mémoriser, Rédiger;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Faire de la recherche scientifique;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des travaux pratiques, Résoudre des exercices;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Commerce / magasin;programmation, robotique, chant, photographie;Avec beaucoup de contacts avec des clients / utilisateurs;Travailler avec des technologies, Faire quelque chose que j'aime, Travailler dans mon domaine de passion, Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-23 19:24:07.000000;Étudiant(e);Série A1 /Série A2;Français / Langues, Histoire / Géographie, Philosophie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Organiser;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Développer des logiciels ou utiliser des technologies numériques;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Faire des sorties / visites de terrain, Participer à des simulations ou études de cas, Faire des présentations / exposés, Réaliser des expériences, Réaliser un projet;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Usine / environnement industriel;danse, voyage;Cela m'est égal;Faire quelque chose que j'aime, Résoudre des problèmes, Avoir de bonnes opportunités d'emploi, Créer ma propre entreprise, Pouvoir évoluer professionnellement;Oui;TEH : Tourisme , Environnement et Hôtellerie;;
2026-08-29 07:53:00.000000;Étudiant(e);Série S;Chimie, Physique;Mathématiques, Physique, Chimie, Français / Langues;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Communiquer;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Travailler dans le tourisme;Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux;Résoudre des exercices, Réaliser un projet, Faire des présentations / exposés, Faire des sorties / visites de terrain;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Tribunal / administration juridique;astronomie;En grande équipe;Faire de la recherche, Travailler avec des technologies, Pouvoir évoluer professionnellement, Travailler dans mon domaine de passion, Avoir un salaire intéressant;Non;;;
2026-08-23 20:12:29.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Philosophie, Français / Langues, Arts / Design;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Observer et comprendre des phénomènes scientifiques, Étudier le vivant, les plantes ou les animaux;Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce;Faire des travaux pratiques, Participer à des simulations ou études de cas, Résoudre des exercices, Réaliser un projet;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Centre de recherche;cuisine;Seul(e);Faire quelque chose que j'aime, Travailler dans un domaine scientifique, Avoir un métier stable;Oui;CAA : Commerce et Administration des Affaires;Enseignant;5
2026-08-27 04:19:04.000000;Étudiant(e);Série C;Mathématiques, Physique, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Gérer une entreprise ou une organisation, Comprendre et utiliser des machines;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Réaliser un projet, Résoudre des exercices, Faire des présentations / exposés, Réaliser des expériences, Participer à des simulations ou études de cas;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Environnement informatique / numérique;cuisine;Avec beaucoup de contacts avec des clients / utilisateurs;Travailler dans mon domaine de passion, Pouvoir évoluer professionnellement, Avoir la possibilité de travailler à l'étranger, Avoir un métier stable;Oui;IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle;;
2026-08-20 00:47:32.000000;Étudiant(e);Série OSE;Français / Langues, Histoire / Géographie;Sciences de la vie / Biologie, Histoire / Géographie, Gestion / Comptabilité, Français / Langues;Organiser, Communiquer, Travailler avec des personnes, Calculer;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes liés à l'environnement, Problèmes économiques et financiers;Résoudre des exercices, Faire des présentations / exposés, Réaliser des expériences, Travailler en groupe;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Laboratoire;cinéma, photographie;En petite équipe;Pouvoir évoluer professionnellement, Travailler avec des technologies, Être utile à la société, Avoir un métier stable, Avoir de bonnes opportunités d'emploi;Oui;EMP : Economie et Management de Projet;;
2026-08-30 17:40:41.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Français / Langues, Histoire / Géographie, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Gestion / Comptabilité, Mathématiques;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Faire des calculs et résoudre des problèmes mathématiques, Réaliser des expériences en laboratoire;Problèmes liés à l'environnement, Problèmes économiques et financiers;Réaliser un projet, Résoudre des exercices;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Centre de recherche;mathématiques, jardinage, peinture;En grande équipe;Avoir un métier stable, Résoudre des problèmes;Oui;EMP : Economie et Management de Projet;Chercheur;4
2026-08-22 06:06:10.000000;Professionnel(le) diplômé(e) / Actif(ve);Série D;Chimie, Mathématiques, Histoire / Géographie;Sciences de la vie / Biologie, Chimie, Mathématiques;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Calculer;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Analyser des chiffres et des données;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage, Problèmes scientifiques et expérimentaux;Faire des sorties / visites de terrain, Travailler en groupe;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Tribunal / administration juridique;cinéma, écriture, langues, animaux;Avec beaucoup de contacts avec des partenaires;Travailler dans un domaine scientifique, Avoir la possibilité de travailler à l'étranger, Avoir de bonnes opportunités d'emploi, Créer ma propre entreprise, Faire quelque chose que j'aime;Non;;Responsable qualité;5
2026-08-20 07:04:40.000000;Étudiant(e);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues;Sciences de la vie / Biologie, Histoire / Géographie, Gestion / Comptabilité;Organiser, Communiquer, Travailler avec des personnes, Calculer;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Faire des calculs et résoudre des problèmes mathématiques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Participer à des simulations ou études de cas, Travailler en groupe, Résoudre des exercices;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Centre de recherche;chant;En grande équipe;Être utile à la société, Avoir un salaire intéressant, Avoir la possibilité de travailler à l'étranger, Pouvoir évoluer professionnellement;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-26 18:39:38.000000;Étudiant(e);Série L;Français / Langues, Philosophie, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Organiser, Calculer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Gérer une entreprise ou une organisation, Étudier les propriétés des substances et des matériaux;Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires;Réaliser des expériences, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Terrain agricole;géopolitique, dessin;Avec beaucoup de contacts avec des partenaires;Être utile à la société, Avoir de bonnes opportunités d'emploi, Travailler avec des personnes, Utiliser mes points forts, Faire de la recherche;Non;;;
2026-08-28 23:58:37.000000;Étudiant(e);Série Technique;Technologie / Sciences industrielles, Mathématiques, Physique;Technologie / Sciences industrielles, Mathématiques, Physique, Gestion / Comptabilité;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Argumenter, Expérimenter;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures;Travailler en groupe, Réaliser des expériences, Résoudre des exercices;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Centre de recherche;langues, mode;Avec beaucoup de contacts avec des partenaires;Avoir un salaire intéressant, Travailler dans un domaine scientifique, Pouvoir évoluer professionnellement;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;;
2026-08-27 00:52:57.000000;Étudiant(e);Série A1 /Série A2;Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie, Physique, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Créer et concevoir des contenus;Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires;Travailler en groupe, Faire des recherches documentaires, Faire des sorties / visites de terrain, Faire des présentations / exposés;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Je ne sais pas encore;théâtre, cuisine, environnement;Avec beaucoup de contacts avec des clients / utilisateurs;Utiliser mes points forts, Créer ma propre entreprise, Faire quelque chose que j'aime, Avoir un métier stable, Travailler dans mon domaine de passion;Oui;EMP : Economie et Management de Projet;;
2026-08-27 17:16:05.000000;Étudiant(e);Série OSE;Histoire / Géographie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Mathématiques;Organiser, Communiquer, Travailler avec des personnes, Analyser des informations;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes liés à l'environnement, Problèmes économiques et financiers;Participer à des simulations ou études de cas, Réaliser des expériences;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Établissement de santé / pharmaceutique;mode, électronique, marketing;Seul(e);Créer ma propre entreprise, Travailler avec des technologies, Travailler dans un domaine scientifique, Avoir un salaire intéressant, Résoudre des problèmes;Non;;;
2026-08-24 19:19:40.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Physique, Mathématiques, Technologie / Sciences industrielles;Technologie / Sciences industrielles, Mathématiques, Physique, Histoire / Géographie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Diriger une équipe, Organiser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Travailler dans le tourisme, Étudier le vivant, les plantes ou les animaux;Problèmes liés aux machines et aux systèmes, Problèmes liés à la construction et aux infrastructures, Problèmes techniques et industriels;Travailler en groupe, Réaliser un projet;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Hôtel / restaurant;langues, lecture, géopolitique;En binôme;Être utile à la société, Utiliser mes matières préférées, Travailler dans mon domaine de passion, Créer ma propre entreprise;Oui;EMII : Electro-Mécanique et Informatique Industrielle;Architecte;1
2026-08-24 06:08:39.000000;Professionnel(le) diplômé(e) / Actif(ve);Autre;Histoire / Géographie, Français / Langues, Informatique;Français / Langues, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Développer des logiciels ou utiliser des technologies numériques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Travailler en groupe, Réaliser des expériences;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Milieu rural;finance, biologie;En grande équipe;Travailler dans mon domaine de passion, Faire quelque chose que j'aime, Créer ma propre entreprise, Avoir de bonnes opportunités d'emploi, Faire de la recherche;Non;;Responsable informatique;2
2026-08-27 20:57:23.000000;Professionnel(le) diplômé(e) / Actif(ve);Autre;Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie, Technologie / Sciences industrielles;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes économiques et financiers, Problèmes liés à l'environnement;Réaliser des expériences, Travailler en groupe, Faire des présentations / exposés, Résoudre des exercices;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Atelier;économie;En petite équipe;Résoudre des problèmes, Travailler avec des personnes, Travailler dans mon domaine de passion;Oui;CAA : Commerce et Administration des Affaires;Responsable qualité;2
2026-08-23 00:41:29.000000;Étudiant(e);Série D;Chimie, Physique, Sciences de la vie / Biologie;Sciences de la vie / Biologie, Chimie, Mathématiques;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Développer des logiciels ou utiliser des technologies numériques, Créer et concevoir des contenus;Problèmes scientifiques et expérimentaux, Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques;Participer à des simulations ou études de cas, Résoudre des exercices, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Centre de recherche;photographie, dessin, physique;Avec beaucoup de contacts avec des partenaires;Travailler avec des personnes, Utiliser mes points forts, Pouvoir évoluer professionnellement, Travailler dans un domaine scientifique;Non;;;
2026-08-23 21:04:01.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Français / Langues, Histoire / Géographie, Philosophie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Participer à des simulations ou études de cas, Faire des présentations / exposés;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Milieu rural;cuisine, géopolitique, langues, danse;En binôme;Travailler dans mon domaine de passion, Travailler avec des technologies, Avoir la possibilité de travailler à l'étranger, Travailler dans un domaine scientifique, Résoudre des problèmes;Oui;TEH : Tourisme , Environnement et Hôtellerie;Ingénieur industriel;2
2026-08-25 02:56:12.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Philosophie, Histoire / Géographie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Physique;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Réaliser des expériences, Participer à des simulations ou études de cas, Faire des sorties / visites de terrain, Résoudre des exercices, Travailler en groupe;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Tribunal / administration juridique;robotique, biologie, programmation;En binôme;Utiliser mes matières préférées, Créer ma propre entreprise, Pouvoir évoluer professionnellement;Non;;Analyste financier;4
2026-08-30 21:12:05.000000;Étudiant(e);Série S;Mathématiques, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Arts / Design;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Organiser;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Étudier des lois, règles et réglementations, Découvrir et faire découvrir des cultures;Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Faire des travaux pratiques, Travailler en groupe, Réaliser un projet, Faire des sorties / visites de terrain;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Laboratoire;programmation, écriture;En petite équipe;Avoir un métier stable, Travailler dans mon domaine de passion, Travailler dans un domaine scientifique;Non;;;
2026-08-24 12:03:52.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Chimie, Physique, Informatique;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Faire des présentations / exposés, Résoudre des exercices, Réaliser un projet, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Usine / environnement industriel;économie, astronomie, physique;Seul(e);Faire quelque chose que j'aime, Travailler avec des personnes, Travailler dans mon domaine de passion;Non;;Infirmier;5
2026-08-24 00:15:03.000000;Étudiant(e);Série S;Physique, Chimie;Mathématiques, Physique, Chimie, Français / Langues, Arts / Design;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Organiser et coordonner des projets, Comprendre et utiliser des machines;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques, Problèmes techniques et industriels;Résoudre des exercices, Travailler en groupe;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Environnement naturel;électronique, histoire;En petite équipe;Utiliser mes matières préférées, Avoir de bonnes opportunités d'emploi, Travailler avec des technologies, Travailler dans mon domaine de passion, Travailler avec des personnes;Oui;ICMP : Industries Chimiques, Minières et Pétrolières;;
