Horodateur,Vous êtes actuellement :,Quelle était votre série au Baccalauréat ?,Quelles étaient vos matières préférées au lycée ?,Dans quelles matières vous étiez doués?,Dans quelles activités pensez-vous être naturellement à l'aise ?,"Parmi les activités suivantes, lesquelles vous attirent le plus ?",Quel type de problème aimez-vous le plus résoudre ?,Quel type d'activité pédagogique vous attire le plus ?,Aimez-vous plutôt la pratique ou les leçons (théorie) ?,Quel rythme de travail vous correspond le mieux ?,Dans quel environnement aimeriez-vous travailler ?,Quels sont vos domaines d'intérêt principaux ?,Préférez-vous travailler principalement,Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?,"si vous devenez etudiant à l'ISPM, quel filière choisiriez vous?","Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?","Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?"
2026-08-17 14:42:57,Étudiant(e),A2,Mathématiques; Économie; Français,Français; Économie,Négocier; Organiser; Communiquer; Analyser,Communiquer; Analyser un marché; Négocier; Faire du commerce,Problèmes commerciaux,Simulations,Pratique,Intensif,Commerce,Entrepreneuriat; Vente,En équipe,Les perspectives de carrière,IAA,Technicien qualité,3.0
2026-07-09 09:24:23,Étudiant(e),C,Physique; Chimie,SVT; Mathématiques,Expérimenter; Manipuler des outils ou équipements,Rechercher; Faire des expériences,Problèmes scientifiques et expérimentaux,Expériences,Pratique et théorie,Régulier,Centre de recherche; Laboratoire,Environnement; Industrie; Chimie; Laboratoire,En équipe,Aimer le domaine étudié,ICMP,Technicien qualité,1.0
2026-07-31 15:45:37,Étudiant(e),A1,Anglais; Histoire,Histoire; Philosophie,Communiquer; Argumenter; Analyser des textes,Débattre; Faire des recherches; Rédiger; Lire des documents,Problèmes juridiques et sociaux,Lectures,Pratique et théorie,Régulier,Institution publique; Tribunal,Administration; Droit; Société,Seul,La reconnaissance du diplôme,DTJA,Conseiller juridique,4.0
2026-07-16 08:01:22,Étudiant(e),A1,Philosophie; Français; Histoire,Français; Histoire,Argumenter; Communiquer; Analyser des textes,Lire des documents; Faire des recherches,Problèmes juridiques et sociaux,Études de cas; Lectures,Pratique et théorie,Régulier,Administration,Droits humains; Justice,Seul,La stabilité professionnelle,DTJA,Avocat,2.0
2026-08-06 15:17:50,Étudiant(e),G,Mathématiques; Gestion,Mathématiques; Économie,Être rigoureux; Organiser; Analyser des données; Calculer,Gérer; Analyser des données; Analyser des comptes,Problèmes financiers,Exercices; Études de cas,Théorie et pratique,Intensif et régulier,Entreprise; Cabinet,Gestion; Finance; Audit; Comptabilité,Seul ou en équipe,La stabilité professionnelle,FIC,Auditeur,2.0
2026-07-13 09:21:06,Professionnel(le),S,Mathématiques; Physique; Chimie,Physique; SVT,Analyser; Résoudre des problèmes,Faire des expériences; Concevoir,Problèmes scientifiques,Travaux pratiques; Recherche,Pratique et théorie,Régulier,Laboratoire; Centre de recherche,Recherche; Sciences,En équipe,Être utile à la société,GCA,Technicien,3.0
2026-08-25 14:44:03,Professionnel(le),A1,Mathématiques; Français,Mathématiques; Gestion,Calculer; Analyser des données; Planifier,Gérer un projet; Analyser un marché; Planifier; Organiser,Problèmes économiques et organisationnels,Études de cas,Pratique,Régulier,Bureau; Administration,Économie; Management; Entrepreneuriat,Seul ou en équipe,Créer mon entreprise,EMP,Chef de projet,5.0
2026-08-24 15:47:31,Étudiant(e),A1,Gestion; Économie,Mathématiques; Gestion,Planifier; Analyser des données; Calculer,Organiser; Gérer un projet; Planifier; Analyser un marché,Problèmes économiques et organisationnels,Projets; Exercices pratiques,Pratique,Dynamique,Entreprise; Administration,Gestion; Économie; Entrepreneuriat; Management,Seul ou en équipe,Les débouchés professionnels,EMP,Manager,4.0
2026-08-03 10:10:17,Étudiant(e),S,Physique; Anglais; Informatique,Informatique,Résoudre des problèmes logiques; Utiliser des outils informatiques,Créer des applications; Programmer,Problèmes logiques et techniques,Travaux dirigés,Pratique,Régulier,Entreprise; Startup,Robotique; Technologie; Programmation; Intelligence artificielle,En équipe,Les débouchés professionnels,IMTICIA,Ingénieur logiciel,2.0
2026-08-12 11:48:11,Professionnel(le),A2,Histoire; Philosophie,Philosophie; Histoire,Analyser des textes; Argumenter,Débattre; Rédiger; Faire des recherches; Lire des documents,Problèmes juridiques et sociaux,Lectures; Études de cas,Pratique et théorie,Régulier,Cabinet; Administration,Administration; Droits humains,Seul,Aimer le domaine étudié,AEE,Éleveur,1.0
2026-08-22 16:19:40,Étudiant(e),A2,Anglais; Histoire,Histoire,Communiquer; Argumenter; Rédiger,Rédiger; Lire des documents; Faire des recherches,Problèmes juridiques et sociaux,Lectures,Théorie,Régulier,Tribunal; Cabinet,Société; Droits humains; Justice; Administration,Seul ou en équipe,Aimer le domaine étudié,IAA,Assistant de recherche,3.0
2026-07-01 09:44:27,Étudiant(e),G,Gestion; Mathématiques; Économie,Mathématiques; Économie,Organiser; Être rigoureux; Calculer,Faire des calculs; Analyser des données; Analyser des comptes,Problèmes financiers,Exercices; Études de cas,Théorie et pratique,Intensif et régulier,Cabinet; Entreprise,Banque; Finance; Gestion,Seul,La stabilité professionnelle,FIC,Contrôleur de gestion,4.0
2026-08-09 09:35:26,Étudiant(e),C,Physique; SVT; Mathématiques,Physique,Résoudre des problèmes; Analyser; Expérimenter; Observer,Concevoir; Analyser; Rechercher,Problèmes scientifiques,Travaux pratiques; Expériences,Pratique et théorie,Intensif et régulier,Industrie,Environnement; Technologie,En équipe,Être utile à la société,IMTICIA,Assistant de recherche,4.0
2026-07-27 17:28:10,Étudiant(e),S,Informatique; Mathématiques,Mathématiques,Travailler avec des données; Analyser des informations; Utiliser des outils informatiques; Résoudre des problèmes logiques,Créer des applications; Programmer; Analyser des données; Automatiser des tâches,Problèmes logiques et techniques,Programmation; Travaux dirigés,Pratique et théorie,Régulier,Startup; Bureau,Intelligence artificielle; Programmation; Data; Robotique,En équipe,Les débouchés professionnels,IGGLIA,Technicien informatique,5.0
2026-07-05 16:26:06,Étudiant(e),S,Gestion; Économie; Mathématiques,Économie; Mathématiques,Calculer; Organiser; Analyser des données; Être rigoureux,Analyser des données; Faire des calculs; Analyser des comptes,Problèmes financiers,Études de cas,Pratique et théorie,Régulier,Entreprise,Finance; Gestion; Banque,Seul,Les débouchés professionnels,ISAIA,Chef de projet,4.0
2026-08-04 07:51:04,Étudiant(e),A1,Histoire; Philosophie,Philosophie; Histoire,Argumenter; Rédiger; Communiquer; Analyser des textes,Lire des documents; Débattre,Problèmes juridiques et sociaux,Débats,Théorie,Calme et régulier,Administration,Société; Droit; Droits humains; Justice,Seul ou en équipe,La reconnaissance du diplôme,DTJA,Juriste,1.0
2026-07-03 10:41:29,Professionnel(le),S,Économie; Gestion; Mathématiques,Mathématiques; Économie,Analyser des données; Être rigoureux; Calculer,Gérer; Faire des calculs,Problèmes financiers,Exercices,Pratique et théorie,Intensif et régulier,Entreprise,Audit; Banque,Seul ou en équipe,Les débouchés professionnels,EMII,Chercheur,4.0
2026-07-08 13:52:43,Professionnel(le),D,SVT; Mathématiques,Chimie,Observer; Manipuler des outils ou équipements; Analyser,Mesurer; Faire des expériences,Problèmes scientifiques et expérimentaux,Expériences,Pratique et théorie,Régulier,Laboratoire,Industrie; Recherche; Environnement; Laboratoire,Seul ou en équipe,La pratique professionnelle,ICMP,Technicien de laboratoire,5.0
2026-08-14 15:53:22,Étudiant(e),G,Mathématiques; Économie; Gestion,Économie; Mathématiques,Analyser des données; Être rigoureux,Faire des calculs; Gérer,Problèmes financiers,Travaux pratiques; Exercices,Théorie et pratique,Régulier,Cabinet; Banque,Audit; Comptabilité,Seul,La stabilité professionnelle,FIC,Contrôleur de gestion,2.0
2026-07-18 07:25:19,Professionnel(le),S,Français; Gestion; Économie,Mathématiques; Économie,Analyser des données; Organiser,Analyser un marché; Gérer un projet; Organiser,Problèmes économiques et organisationnels,Études de cas; Exercices pratiques,Pratique et théorie,Régulier,Administration; Bureau,Économie; Entrepreneuriat; Management; Gestion,En équipe,Créer mon entreprise,GCA,Chef de projet,3.0
2026-08-03 12:37:46,Professionnel(le),S,Mathématiques; Anglais,Informatique; Mathématiques,Travailler avec des données; Analyser des informations; Résoudre des problèmes logiques; Utiliser des outils informatiques,Analyser des données; Créer des applications; Automatiser des tâches; Programmer,Problèmes logiques et techniques,Programmation; Travaux dirigés,Pratique,Régulier,Bureau,Technologie; Data; Intelligence artificielle,Seul ou en petite équipe,Travailler dans un secteur innovant,IGGLIA,Développeur full-stack,2.0
2026-08-21 12:50:06,Professionnel(le),C,Mathématiques; Chimie; Physique,SVT; Physique,Analyser; Résoudre des problèmes; Expérimenter; Observer,Analyser; Faire des expériences; Concevoir,Problèmes scientifiques,Recherche; Travaux pratiques,Pratique et théorie,Régulier,Laboratoire,Recherche; Technologie; Environnement,En équipe,Être utile à la société,IMTICIA,Chercheur,3.0
2026-07-15 15:25:19,Étudiant(e),S,Mathématiques; Gestion,Économie,Calculer; Organiser,Analyser des données; Faire des calculs,Problèmes financiers,Travaux pratiques,Théorie et pratique,Régulier,Bureau,Banque; Gestion; Audit; Comptabilité,Seul,La stabilité professionnelle,GCA,Ingénieur,2.0
2026-08-22 12:52:07,Étudiant(e),C,Physique; Mathématiques; Chimie,SVT,Expérimenter; Analyser,Analyser des substances; Rechercher; Faire des expériences; Mesurer,Problèmes scientifiques et expérimentaux,Travaux pratiques,Pratique et théorie,Régulier,Centre de recherche; Laboratoire,Chimie; Recherche; Environnement,Seul ou en équipe,Acquérir une formation solide,PIP,Chercheur en pharmacologie,1.0
2026-07-26 07:50:00,Étudiant(e),S,Économie; Mathématiques,Économie; Mathématiques,Calculer; Organiser,Analyser des comptes; Analyser des données; Faire des calculs; Gérer,Problèmes financiers,Exercices,Pratique et théorie,Régulier,Entreprise,Banque; Audit,Seul ou en équipe,Les débouchés professionnels,ISAIA,Analyste cyber-sécurité,5.0
2026-08-12 17:42:37,Étudiant(e),S,SVT; Physique,Chimie,Manipuler des outils ou équipements; Observer; Expérimenter,Mesurer; Rechercher; Analyser des substances; Faire des expériences,Problèmes scientifiques et expérimentaux,Travaux pratiques; Laboratoire,Pratique et théorie,Régulier,Industrie,Chimie; Laboratoire,Seul ou en équipe,Acquérir une formation solide,ICMP,Technicien de laboratoire,5.0
2026-08-07 09:57:30,Étudiant(e),G,Gestion; Mathématiques; Économie,Économie; Mathématiques,Organiser; Être rigoureux,Analyser des données; Analyser des comptes,Problèmes financiers,Études de cas; Exercices,Théorie et pratique,Régulier,Entreprise,Banque; Audit,Seul,Les débouchés professionnels,FIC,Analyste financier,3.0
2026-08-01 09:54:40,Professionnel(le),A1,Anglais; Philosophie; Français,Français,Argumenter; Analyser des textes; Communiquer; Rédiger,Lire des documents; Faire des recherches,Problèmes juridiques et sociaux,Études de cas; Débats,Théorie,Régulier,Cabinet; Administration,Droits humains; Administration; Droit; Société,Seul ou en équipe,La stabilité professionnelle,DTJA,Conseiller juridique,5.0
2026-08-24 07:13:17,Étudiant(e),G,Français; Économie,Économie; Français,Analyser; Communiquer,Négocier; Communiquer,Problèmes commerciaux,Simulations,Pratique,Intensif,Commerce; Agence,Marketing; Commerce; Entrepreneuriat; Vente,En équipe,Les débouchés professionnels,CAA,Business developer,4.0
2026-08-07 14:46:13,Professionnel(le),S,Mathématiques; Physique; Informatique,Mathématiques; Informatique,Analyser des informations; Utiliser des outils informatiques,Créer des applications; Automatiser des tâches,Problèmes logiques et techniques,Travaux dirigés; Programmation,Pratique et théorie,Régulier,Télétravail,Robotique; Data; Technologie,En équipe,Développer des compétences professionnelles,ESIIA,Data analyst,5.0
2026-08-24 10:39:57,Étudiant(e),G,Histoire; Français,Français; Anglais,Rédiger; Présenter; Communiquer; Créer,Créer du contenu; Organiser des événements; Communiquer; Présenter,Problèmes de communication,Présentations; Projets,Pratique,Intensif et régulier,Média; Studio,Marketing; Publicité,En équipe,Développer son réseau professionnel,TEE,Chargé marketing,4.0
2026-08-20 10:06:52,Étudiant(e),A1,Anglais; Histoire; Philosophie,Français,Communiquer; Analyser des textes; Argumenter,Débattre; Rédiger; Faire des recherches; Lire des documents,Problèmes juridiques et sociaux,Études de cas; Lectures,Théorie,Régulier,Cabinet,Droits humains; Justice,Seul,La reconnaissance du diplôme,DTJA,Avocat,5.0
2026-07-11 09:06:56,Étudiant(e),G,Mathématiques; Gestion,Mathématiques; Économie,Organiser; Planifier; Analyser des données; Calculer,Organiser; Gérer un projet; Planifier; Analyser un marché,Problèmes économiques et organisationnels,Projets,Pratique,Dynamique,Administration,Entrepreneuriat; Économie; Gestion; Management,Seul ou en équipe,Créer mon entreprise,EMP,Chef de projet,5.0
2026-07-22 09:42:55,Étudiant(e),S,Économie; Gestion; Mathématiques,Mathématiques; Économie,Être rigoureux; Organiser,Gérer; Analyser des données; Analyser des comptes,Problèmes financiers,Travaux pratiques,Pratique et théorie,Intensif et régulier,Bureau; Cabinet,Finance; Comptabilité,Seul ou en équipe,Les débouchés professionnels,ISAIA,Technicien informatique,2.0
2026-07-08 15:07:18,Étudiant(e),A1,Économie; Gestion; Mathématiques,Gestion,Planifier; Organiser; Analyser des données,Organiser; Analyser un marché; Gérer un projet; Planifier,Problèmes économiques et organisationnels,Projets; Exercices pratiques,Pratique et théorie,Dynamique,Entreprise; Bureau,Gestion; Entrepreneuriat; Management,En équipe,Les débouchés professionnels,EMP,Chef de projet,4.0
2026-07-08 09:41:33,Étudiant(e),A2,Anglais; Philosophie; Histoire,Français; Philosophie,Analyser des textes; Argumenter; Rédiger,Débattre; Rédiger; Lire des documents; Faire des recherches,Problèmes juridiques et sociaux,Débats,Pratique et théorie,Calme et régulier,Institution publique; Administration,Droit; Société; Administration; Droits humains,Seul ou en équipe,La reconnaissance du diplôme,IAA,Technicien de laboratoire,2.0
2026-08-10 13:32:27,Professionnel(le),S,Gestion; Mathématiques; Français,Mathématiques,Planifier; Analyser des données; Organiser,Organiser; Analyser un marché; Gérer un projet; Planifier,Problèmes économiques et organisationnels,Projets; Études de cas,Pratique,Dynamique,Entreprise; Administration,Management; Économie; Entrepreneuriat,En équipe,Les perspectives de carrière,EMII,Chef de projet,3.0
2026-07-12 17:48:18,Étudiant(e),S,Informatique; Anglais; Mathématiques,Informatique,Travailler avec des données; Résoudre des problèmes logiques,Automatiser des tâches; Créer des applications,Problèmes logiques et techniques,Travaux dirigés; Programmation,Pratique et théorie,Régulier,Télétravail; Startup,Robotique; Programmation; Data; Technologie,Seul ou en petite équipe,Travailler dans un secteur innovant,IMTICIA,Développeur,2.0
2026-08-25 14:59:55,Professionnel(le),C,Chimie; SVT; Physique,Physique; Mathématiques,Expérimenter; Analyser; Observer; Résoudre des problèmes,Rechercher; Concevoir; Faire des expériences,Problèmes scientifiques,Recherche,Pratique et théorie,Intensif et régulier,Industrie; Centre de recherche,Environnement; Technologie; Sciences,En équipe,Acquérir une formation solide,EMII,Assistant de recherche,5.0
2026-08-20 08:24:10,Étudiant(e),G,Mathématiques; Gestion; Français,Mathématiques; Économie,Calculer; Planifier,Planifier; Organiser; Gérer un projet; Analyser un marché,Problèmes économiques et organisationnels,Exercices pratiques; Études de cas,Pratique,Régulier,Entreprise,Entrepreneuriat; Économie,En équipe,Les perspectives de carrière,EMP,Business developer,5.0
2026-08-14 10:54:22,Étudiant(e),A1,Anglais; Français; Histoire,Anglais; Français,Créer; Présenter; Rédiger; Communiquer,Organiser des événements; Présenter,Problèmes de communication,Projets,Pratique,Dynamique,Studio,Marketing; Communication; Événementiel; Médias,En équipe,Développer mes compétences relationnelles,TEH,Community manager,3.0
2026-08-17 07:44:08,Étudiant(e),D,Chimie; Mathématiques,Mathématiques; SVT,Manipuler des outils ou équipements; Observer; Expérimenter; Analyser,Analyser des substances; Mesurer,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique,Progressif,Centre de recherche,Laboratoire; Chimie,En équipe,Acquérir une formation solide,ICMP,Technicien de laboratoire,3.0
2026-08-08 16:07:33,Étudiant(e),S,Anglais; Informatique; Mathématiques,Mathématiques,Travailler avec des données; Résoudre des problèmes logiques,Créer des applications; Analyser des données,Problèmes logiques et techniques,Travaux dirigés; Projets pratiques,Pratique,Intensif et régulier,Entreprise; Startup,Robotique; Programmation; Intelligence artificielle; Data,En équipe,Développer des compétences professionnelles,ISAIA,Analyste cyber-sécurité,1.0
2026-07-29 17:14:32,Professionnel(le),A1,Économie; Français,Économie,Organiser; Négocier,Communiquer; Faire du commerce; Analyser un marché,Problèmes commerciaux,Projets; Simulations,Pratique et théorie,Dynamique,Agence,Marketing; Entrepreneuriat; Commerce,En équipe,Créer mon entreprise,TEE,Responsable marketing,5.0
2026-07-05 11:56:05,Étudiant(e),A1,Mathématiques; Français; Économie,Français; Économie,Organiser; Analyser; Négocier,Analyser un marché; Négocier; Communiquer,Problèmes commerciaux,Études de cas,Pratique et théorie,Intensif,Entreprise; Agence,Marketing; Commerce,En équipe,Les débouchés professionnels,CAA,Commercial,4.0
2026-07-11 16:38:37,Professionnel(le),D,Chimie; SVT; Mathématiques,SVT; Mathématiques,Résoudre des problèmes; Observer,Concevoir; Rechercher; Faire des expériences,Problèmes scientifiques,Recherche,Pratique et théorie,Intensif et régulier,Centre de recherche,Technologie; Recherche; Sciences,En équipe,Acquérir une formation solide,AEE,Chercheur,3.0
2026-08-01 13:04:53,Professionnel(le),D,SVT; Mathématiques; Chimie,Chimie,Manipuler des outils ou équipements; Expérimenter; Analyser; Observer,Faire des expériences; Mesurer; Analyser des substances,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique et théorie,Progressif,Laboratoire; Centre de recherche,Industrie; Laboratoire,En équipe,Acquérir une formation solide,IAA,Chercheur,3.0
2026-07-18 16:54:45,Étudiant(e),D,SVT; Physique,Mathématiques,Analyser; Expérimenter; Observer; Manipuler des outils ou équipements,Analyser des substances; Rechercher; Faire des expériences; Mesurer,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique,Progressif,Industrie; Centre de recherche,Laboratoire; Recherche; Chimie; Environnement,Seul ou en équipe,Aimer le domaine étudié,IAA,Technicien de laboratoire,4.0
2026-07-21 17:56:27,Étudiant(e),S,Économie; Français,Économie; Mathématiques,Analyser des données; Calculer; Organiser,Gérer un projet; Planifier; Analyser un marché,Problèmes économiques et organisationnels,Projets; Études de cas,Pratique et théorie,Régulier,Entreprise,Économie; Entrepreneuriat; Gestion; Management,Seul ou en équipe,Les perspectives de carrière,EMII,Chef de projet,1.0
2026-08-05 16:39:19,Professionnel(le),S,Mathématiques; Anglais,Informatique; Mathématiques,Résoudre des problèmes logiques; Analyser des informations; Travailler avec des données,Programmer; Créer des applications,Problèmes logiques et techniques,Programmation; Projets pratiques,Pratique,Régulier,Entreprise,Robotique; Programmation; Intelligence artificielle; Technologie,En équipe,Travailler dans un secteur innovant,ESIIA,Ingénieur logiciel,3.0
2026-08-08 10:23:11,Étudiant(e),S,Économie; Gestion,Gestion,Organiser; Calculer,Analyser un marché; Organiser,Problèmes économiques et organisationnels,Exercices pratiques; Études de cas,Pratique et théorie,Dynamique,Administration; Entreprise,Gestion; Management; Entrepreneuriat; Économie,Seul ou en équipe,Les perspectives de carrière,EMII,Chef de projet,4.0
2026-07-02 07:31:46,Professionnel(le),G,Économie; Mathématiques; Français,Économie,Analyser; Organiser; Négocier; Communiquer,Négocier; Communiquer; Analyser un marché; Faire du commerce,Problèmes commerciaux,Simulations; Projets,Pratique et théorie,Intensif,Entreprise; Commerce,Commerce; Vente,En équipe,Créer mon entreprise,CAA,Responsable marketing,5.0
2026-07-23 15:43:35,Étudiant(e),G,Mathématiques; Économie; Français,Gestion,Calculer; Analyser des données,Analyser un marché; Planifier; Organiser,Problèmes économiques et organisationnels,Projets; Exercices pratiques,Pratique et théorie,Dynamique,Entreprise,Entrepreneuriat; Gestion; Économie,En équipe,Les perspectives de carrière,EMP,Community manager,3.0
2026-07-08 13:53:05,Étudiant(e),S,Informatique; Mathématiques,Mathématiques,Analyser des informations; Utiliser des outils informatiques,Analyser des données; Créer des applications; Automatiser des tâches,Problèmes logiques et techniques,Travaux dirigés,Pratique et théorie,Régulier,Entreprise; Télétravail,Technologie; Intelligence artificielle,En équipe,Travailler dans un secteur innovant,ISAIA,Data scientifique,5.0
2026-07-21 15:07:24,Étudiant(e),A1,Histoire; Anglais,Français; Anglais,Créer; Présenter; Rédiger,Communiquer; Présenter; Créer du contenu,Problèmes de communication,Travaux de groupe; Projets,Pratique et théorie,Dynamique,Entreprise,Marketing; Publicité; Événementiel; Médias,En équipe,Développer mes compétences relationnelles,TEH,Chargé marketing,4.0
2026-08-01 10:52:05,Étudiant(e),G,Économie; Français; Gestion,Mathématiques; Économie,Organiser; Analyser des données; Calculer,Organiser; Planifier; Analyser un marché,Problèmes économiques et organisationnels,Études de cas; Projets,Pratique et théorie,Régulier,Entreprise,Entrepreneuriat; Gestion; Économie; Management,En équipe,Créer mon entreprise,EMP,Manager,4.0
2026-07-25 11:51:50,Étudiant(e),S,Informatique; Anglais; Mathématiques,Informatique,Travailler avec des données; Analyser des informations; Utiliser des outils informatiques; Résoudre des problèmes logiques,Automatiser des tâches; Analyser des données,Problèmes logiques et techniques,Projets pratiques,Pratique,Régulier,Bureau,Technologie; Programmation; Data,Seul ou en petite équipe,Développer des compétences professionnelles,ISAIA,Ingénieur logiciel,1.0
2026-08-08 14:47:39,Professionnel(le),G,Histoire; Français; Anglais,Français; Anglais,Présenter; Créer,Créer du contenu; Organiser des événements,Problèmes de communication,Travaux de groupe,Pratique,Intensif et régulier,Média,Marketing; Événementiel; Publicité; Médias,En équipe,Développer son réseau professionnel,TEH,Community manager,5.0
2026-07-03 12:12:04,Étudiant(e),G,Histoire; Anglais; Français,Français; Anglais,Rédiger; Présenter; Créer; Communiquer,Communiquer; Présenter,Problèmes de communication,Présentations; Travaux de groupe,Pratique et théorie,Intensif et régulier,Agence; Média,Publicité; Marketing; Communication; Médias,En équipe,Développer mes compétences relationnelles,TEH,Responsable communication,1.0
2026-08-19 11:11:53,Étudiant(e),S,Informatique; Physique,Informatique,Travailler avec des données; Utiliser des outils informatiques; Résoudre des problèmes logiques; Analyser des informations,Analyser des données; Automatiser des tâches; Programmer; Créer des applications,Problèmes logiques et techniques,Projets pratiques; Travaux dirigés,Pratique,Régulier,Télétravail; Bureau,Technologie; Programmation,Seul ou en petite équipe,Les débouchés professionnels,ISAIA,Ingénieur logiciel,2.0
2026-08-24 12:07:33,Étudiant(e),A1,Français; Économie,Économie; Français,Négocier; Analyser; Organiser; Communiquer,Communiquer; Négocier; Faire du commerce,Problèmes commerciaux,Études de cas,Pratique,Intensif,Agence,Marketing; Commerce,En équipe,Les perspectives de carrière,CAA,Commercial,2.0
2026-08-25 17:50:09,Étudiant(e),D,Chimie; Mathématiques,Chimie,Observer; Manipuler des outils ou équipements; Analyser; Expérimenter,Analyser des substances; Mesurer,Problèmes scientifiques et expérimentaux,Laboratoire; Travaux pratiques,Pratique,Régulier,Centre de recherche,Laboratoire; Industrie; Environnement; Chimie,Seul ou en équipe,Acquérir une formation solide,ICMP,Technicien qualité,2.0
2026-08-04 07:11:08,Professionnel(le),S,Économie; Gestion,Mathématiques; Économie,Être rigoureux; Calculer,Analyser des comptes; Gérer,Problèmes financiers,Exercices,Pratique et théorie,Intensif et régulier,Entreprise,Gestion; Banque; Audit; Finance,Seul ou en équipe,Les débouchés professionnels,EMII,Gestionnaire,5.0
2026-07-02 10:52:11,Professionnel(le),G,Français; Mathématiques,Économie,Analyser; Communiquer,Négocier; Communiquer; Faire du commerce; Analyser un marché,Problèmes commerciaux,Études de cas,Pratique et théorie,Intensif,Entreprise,Marketing; Entrepreneuriat,En équipe,Les perspectives de carrière,TEE,Chargé marketing,3.0
2026-07-26 08:58:39,Étudiant(e),G,Mathématiques; Gestion,Économie,Analyser des données; Être rigoureux; Organiser; Calculer,Analyser des données; Gérer,Problèmes financiers,Études de cas,Pratique et théorie,Régulier,Bureau; Entreprise,Banque; Finance; Audit,Seul,Les perspectives de carrière,FIC,Analyste financier,2.0
2026-08-07 14:26:08,Étudiant(e),S,Informatique; Physique; Anglais,Mathématiques; Informatique,Utiliser des outils informatiques; Travailler avec des données,Créer des applications; Analyser des données; Programmer; Automatiser des tâches,Problèmes logiques et techniques,Projets pratiques; Travaux dirigés,Pratique et théorie,Intensif et régulier,Télétravail; Bureau,Technologie; Intelligence artificielle; Programmation; Data,Seul ou en petite équipe,Développer des compétences professionnelles,IGGLIA,Analyste cyber-sécurité,2.0
2026-07-17 10:07:41,Professionnel(le),A2,Économie; Mathématiques,Économie; Français,Analyser; Négocier,Analyser un marché; Négocier; Faire du commerce,Problèmes commerciaux,Projets,Pratique,Intensif,Entreprise,Commerce; Vente; Entrepreneuriat; Marketing,En équipe,Les débouchés professionnels,AEE,Chercheur,4.0
2026-08-17 17:39:14,Professionnel(le),S,Mathématiques; Informatique,Informatique; Mathématiques,Utiliser des outils informatiques; Analyser des informations,Analyser des données; Automatiser des tâches; Programmer,Problèmes logiques et techniques,Travaux dirigés; Projets pratiques,Pratique,Intensif et régulier,Bureau,Robotique; Programmation; Data; Technologie,Seul ou en petite équipe,Développer des compétences professionnelles,IGGLIA,Développeur logiciel,5.0
2026-07-07 14:03:17,Étudiant(e),A1,Français; Histoire,Français; Anglais,Présenter; Créer; Communiquer; Rédiger,Créer du contenu; Communiquer; Présenter,Problèmes de communication,Présentations,Pratique,Dynamique,Entreprise; Studio,Publicité; Marketing; Médias; Communication,En équipe,Développer mes compétences relationnelles,TEH,Journaliste,2.0
2026-08-20 07:19:24,Étudiant(e),G,Anglais; Histoire; Français,Anglais,Communiquer; Créer; Présenter; Rédiger,Créer du contenu; Communiquer; Organiser des événements,Problèmes de communication,Projets,Pratique,Intensif et régulier,Agence; Média,Marketing; Événementiel; Communication,En équipe,Développer mes compétences relationnelles,TEH,Community manager,2.0
2026-07-16 13:31:11,Étudiant(e),S,Économie; Mathématiques; Gestion,Mathématiques; Économie,Organiser; Analyser des données; Calculer; Être rigoureux,Analyser des comptes; Gérer,Problèmes financiers,Études de cas; Travaux pratiques,Théorie et pratique,Intensif et régulier,Cabinet; Banque,Comptabilité; Gestion,Seul,Les débouchés professionnels,EMII,Chef de projet,3.0
2026-07-31 10:27:34,Professionnel(le),G,Histoire; Français,Anglais,Présenter; Communiquer; Rédiger; Créer,Communiquer; Organiser des événements,Problèmes de communication,Travaux de groupe,Pratique et théorie,Dynamique,Média; Agence,Publicité; Événementiel,En équipe,La possibilité d'évoluer professionnellement,TEE,Responsable communication,2.0
2026-08-21 12:02:02,Étudiant(e),S,Anglais; Mathématiques; Informatique,Informatique; Mathématiques,Travailler avec des données; Résoudre des problèmes logiques; Analyser des informations,Analyser des données; Créer des applications; Programmer,Problèmes logiques et techniques,Travaux dirigés,Pratique et théorie,Régulier,Bureau; Startup,Robotique; Data; Programmation,Seul ou en petite équipe,Les débouchés professionnels,IGGLIA,Data scientifique,4.0
2026-07-22 17:52:08,Étudiant(e),G,Anglais; Histoire; Français,Anglais; Français,Créer; Communiquer; Présenter,Organiser des événements; Communiquer; Créer du contenu; Présenter,Problèmes de communication,Travaux de groupe,Pratique,Dynamique,Entreprise,Médias; Publicité,En équipe,La possibilité d'évoluer professionnellement,TEH,Responsable communication,1.0
2026-08-16 08:16:51,Professionnel(le),A2,Économie; Mathématiques; Français,Économie,Communiquer; Organiser,Analyser un marché; Négocier; Faire du commerce,Problèmes commerciaux,Projets; Études de cas,Pratique et théorie,Intensif,Agence; Entreprise,Vente; Entrepreneuriat,En équipe,Créer mon entreprise,IAA,Biologiste,5.0
